O,H,L,C
15309.99,15309.99,15171.01,15171.01
15171.02,15178.41,15131.03,15178.4
15178.4,15178.41,15040.0,15041.99
15041.99,15170.98,14854.13,14873.97
14874.5,14944.67,14816.35,14835.0
14835.0,14947.0,14816.35,14947.0
14946.99,14953.09,14875.0,14901.0
14901.58,14935.78,14875.0,14881.79
14881.78,14950.0,14820.0,14847.56
14847.32,14900.0,14812.0,14870.57
14870.57,14930.0,14852.99,14885.09
14885.09,14950.0,14885.08,14934.0
14934.01,14934.01,14651.99,14691.71
14691.71,14718.77,14610.0,14668.02
14668.22,14817.79,14660.0,14708.12
14708.03,14708.03,14464.41,14464.41
14472.16,14568.12,14400.0,14424.99
14424.98,14708.15,14424.98,14674.99
14674.98,14691.61,14435.32,14549.91
14549.9,14549.99,14449.9,14450.0
14450.0,14545.0,14450.0,14494.39
14494.4,14494.4,14441.5,14450.0
14450.0,14450.0,14280.0,14280.01
14280.0,14539.0,14130.85,14447.43
14526.54,14632.39,14447.42,14484.97
14488.16,14590.0,14486.7,14545.8
14545.8,14625.0,14545.79,14625.0
14621.01,14650.0,14460.61,14553.93
14553.93,14568.64,14451.0,14474.78
14474.77,14549.0,14474.77,14520.31
14520.3,14542.69,14465.04,14542.68
14542.68,14542.69,14474.01,14480.01
14480.01,14480.01,14200.0,14245.0
14239.47,14333.09,14159.0,14184.98
14184.98,14249.88,14130.85,14175.0
14178.62,14250.0,14001.0,14024.01
14001.01,14083.49,13900.0,13907.0
13907.0,14213.13,13812.29,14134.0
14134.01,14134.01,13851.82,13924.45
13924.44,14110.1,13900.0,14110.1
14110.1,14179.39,14000.01,14178.98
14179.38,14179.39,13966.0,13999.94
13991.86,13999.94,13805.0,13805.0
13805.01,13966.24,13690.0,13696.33
13696.33,13840.82,13650.0,13653.95
13653.76,13670.0,13550.0,13574.99
13575.0,13846.0,13551.01,13638.31
13642.3,13642.3,13501.0,13502.41
13502.42,13800.0,13502.0,13515.37
13515.07,14050.0,13515.07,14019.99
14020.0,14200.0,13801.0,13826.71
13826.94,13989.99,13826.72,13860.0
13864.79,13864.99,13650.0,13665.99
13666.0,13796.28,13610.0,13625.2
13625.0,13869.02,13563.02,13700.0
13701.95,13841.44,13655.0,13723.99
13723.99,13966.0,13710.0,13946.69
13946.69,14050.0,13900.0,14029.99
14029.99,14179.39,13840.23,14052.35
14052.36,14160.0,14003.81,14100.0
14100.0,14152.61,13960.0,13982.65
13982.66,14031.15,13900.0,13901.81
13902.6,14030.0,13900.0,13957.43
13957.44,14030.0,13908.0,13909.03
13909.03,13909.04,13761.01,13770.0
13763.01,13963.0,13761.0,13960.38
13960.38,13970.0,13818.55,13840.47
13840.48,13850.0,13720.45,13757.96
13757.96,13770.0,13704.0,13769.99
13769.99,13839.0,13760.99,13803.28
13803.28,13835.01,13774.2,13790.02
13790.02,13900.0,13776.0,13900.0
13899.99,14070.0,13862.82,14020.0
14020.01,14075.0,13930.02,13942.07
13942.07,13995.0,13817.93,13870.18
13870.18,13870.18,13810.0,13822.68
13822.68,13930.0,13822.67,13930.0
13930.0,13997.0,13910.0,13940.0
13940.01,14000.0,13910.0,13970.1
13970.1,14249.99,13968.0,14186.7
14186.71,14186.71,14100.0,14100.0
14103.14,14232.56,14100.0,14229.99
14228.79,14491.94,14228.79,14469.4
