Date,O,H,L,C
2017-12-10 00:00:00,15309.99,15309.99,15040.0,15041.99
2017-12-10 00:15:00,15041.99,15170.98,14816.35,14947.0
2017-12-10 00:30:00,14946.99,14953.09,14820.0,14847.56
2017-12-10 00:45:00,14847.32,14950.0,14812.0,14934.0
2017-12-10 01:00:00,14934.01,14934.01,14610.0,14708.12
2017-12-10 01:15:00,14708.03,14708.15,14400.0,14674.99
2017-12-10 01:30:00,14674.98,14691.61,14435.32,14494.39
2017-12-10 01:45:00,14494.4,14539.0,14130.85,14447.43
2017-12-10 02:00:00,14526.54,14632.39,14447.42,14625.0
2017-12-10 02:15:00,14621.01,14650.0,14451.0,14520.31
2017-12-10 02:30:00,14520.3,14542.69,14200.0,14245.0
2017-12-10 02:45:00,14239.47,14333.09,14001.0,14024.01
2017-12-10 03:00:00,14001.01,14213.13,13812.29,13924.45
2017-12-10 03:15:00,13924.44,14179.39,13900.0,13999.94
2017-12-10 03:30:00,13991.86,13999.94,13650.0,13653.95
2017-12-10 03:45:00,13653.76,13846.0,13501.0,13502.41
2017-12-10 04:00:00,13502.42,14200.0,13502.0,13826.71
2017-12-10 04:15:00,13826.94,13989.99,13610.0,13625.2
2017-12-10 04:30:00,13625.0,13966.0,13563.02,13946.69
2017-12-10 04:45:00,13946.69,14179.39,13840.23,14100.0
2017-12-10 05:00:00,14100.0,14152.61,13900.0,13957.43
2017-12-10 05:15:00,13957.44,14030.0,13761.0,13960.38
2017-12-10 05:30:00,13960.38,13970.0,13704.0,13769.99
2017-12-10 05:45:00,13769.99,13900.0,13760.99,13900.0
2017-12-10 06:00:00,13899.99,14075.0,13817.93,13870.18
2017-12-10 06:15:00,13870.18,13997.0,13810.0,13940.0
2017-12-10 06:30:00,13940.01,14249.99,13910.0,14100.0
2017-12-10 06:45:00,14103.14,14494.0,14100.0,14422.49
2017-12-10 07:00:00,14422.23,14499.0,14288.5,14291.44
2017-12-10 07:15:00,14291.44,14350.0,14100.99,14101.0
2017-12-10 07:30:00,14100.99,14192.34,13900.0,14070.57
2017-12-10 07:45:00,14070.57,14256.0,14012.96,14218.56
2017-12-10 08:00:00,14218.56,14254.92,13911.54,13911.56
2017-12-10 08:15:00,13911.55,14018.02,13800.0,13842.77
2017-12-10 08:30:00,13842.77,14075.0,13842.76,13890.16
2017-12-10 08:45:00,13878.58,14080.0,13850.0,14039.99
2017-12-10 09:00:00,14040.0,14084.88,13929.01,13950.0
2017-12-10 09:15:00,13950.0,14131.62,13950.0,14029.65
2017-12-10 09:30:00,14029.65,14225.79,14007.95,14225.78
2017-12-10 09:45:00,14225.79,14247.74,14113.18,14183.99
2017-12-10 10:00:00,14183.98,14398.0,14114.84,14398.0
2017-12-10 10:15:00,14398.0,14420.0,14257.49,14405.0
2017-12-10 10:30:00,14405.0,14556.0,14336.77,14426.71
2017-12-10 10:45:00,14436.02,14444.0,14260.01,14265.0
2017-12-10 11:00:00,14265.01,14400.0,14265.0,14300.01
2017-12-10 11:15:00,14300.01,14405.58,14300.0,14382.99
2017-12-10 11:30:00,14382.99,14390.0,14125.0,14125.01
2017-12-10 11:45:00,14125.0,14249.8,14051.0,14248.99
