O,H,L,C
11718.34,11759.0,11717.5,11759.0
11758.99,11760.0,11758.99,11760.0
11760.0,11760.07,11759.99,11760.07
11760.07,11762.44,11760.06,11762.44
11762.44,11775.0,11762.44,11775.0
11775.0,11799.1,11774.99,11799.0
11799.0,11807.0,11798.99,11807.0
11807.0,11840.0,11806.99,11840.0
11840.0,11842.65,11812.32,11825.43
11825.43,11845.0,11825.42,11845.0
11845.0,11847.0,11825.23,11847.0
11847.01,11863.5,11847.01,11862.99
11863.0,11874.99,11850.01,11874.99
11874.99,11875.0,11874.98,11875.0
11875.0,11897.0,11874.99,11897.0
11897.0,11897.0,11867.5,11867.5
11867.51,11897.0,11867.5,11874.98
11874.98,11895.01,11874.97,11877.14
11877.13,11883.0,11875.0,11878.87
11878.87,11878.87,11876.46,11876.88
11876.88,11897.99,11876.87,11897.99
11897.99,11898.0,11897.99,11898.0
11897.99,11899.0,11897.99,11899.0
11899.0,11978.0,11898.99,11964.63
11964.63,11971.0,11934.19,11971.0
11971.0,11972.0,11957.99,11965.0
11965.0,11979.0,11964.99,11979.0
11979.0,11994.99,11978.99,11994.99
11994.99,12100.11,11994.98,12054.37
12060.12,12150.0,12054.37,12146.0
12150.0,12165.0,12060.0,12067.3
12067.3,12150.5,12066.99,12110.0
12110.0,12149.0,12109.99,12148.99
12148.99,12149.0,12130.0,12140.0
12140.0,12140.0,12139.0,12139.0
12139.01,12161.54,12139.0,12160.8
12160.8,12244.88,12160.8,12228.55
12200.0,12228.54,12199.99,12224.0
12224.0,12224.0,12090.0,12200.98
12200.98,12200.98,12152.69,12190.0
12190.0,12200.0,12189.99,12199.99
12200.0,12237.99,12194.5,12203.79
12207.02,12237.97,12200.0,12207.1
12207.11,12219.9,12207.1,12217.7
12217.71,12238.99,12217.7,12238.98
12238.99,12300.0,12238.98,12296.4
12296.41,12296.41,12280.0,12282.0
12282.0,12283.0,12240.0,12250.01
12250.01,12290.0,12250.0,12269.98
12269.98,12279.91,12150.01,12165.13
12169.0,12244.59,12152.42,12181.64
