O,H,L,C
11718.34,11760.07,11717.5,11760.07
11760.07,11799.1,11760.06,11799.0
11799.0,11842.65,11798.99,11825.43
11825.43,11863.5,11825.23,11862.99
11863.0,11897.0,11850.01,11897.0
11897.0,11897.0,11867.5,11877.14
11877.13,11897.99,11875.0,11897.99
11897.99,11978.0,11897.99,11964.63
11964.63,11979.0,11934.19,11979.0
11979.0,12150.0,11978.99,12146.0
12150.0,12165.0,12060.0,12148.99
12148.99,12161.54,12130.0,12160.8
12160.8,12244.88,12090.0,12200.98
12200.98,12237.99,12152.69,12203.79
12207.02,12238.99,12200.0,12238.98
12238.99,12300.0,12238.98,12250.01
12250.01,12290.0,12150.01,12181.64
12181.65,12233.87,12181.64,12226.53
12226.53,12226.53,12200.0,12200.0
12200.0,12242.38,12181.0,12239.99
12239.99,12239.99,12205.0,12220.0
12219.99,12235.0,12204.01,12217.42
12217.43,12217.43,12205.0,12205.01
12205.0,12300.0,12205.0,12299.99
12300.0,12375.0,12299.99,12355.0
12355.0,12390.91,12355.0,12389.9
12390.75,12390.75,12370.03,12370.54
12370.53,12450.0,12370.53,12450.0
12450.0,12540.0,12354.99,12426.66
12426.66,12490.5,12390.0,12466.9
12466.91,12466.91,12402.0,12436.67
12436.67,12450.0,12420.0,12429.0
12429.01,12463.14,12410.87,12463.14
12463.14,12560.0,12463.14,12560.0
12560.0,12589.55,12546.99,12555.62
12555.6,12564.36,12546.99,12560.0
12560.0,12605.0,12558.48,12605.0
12605.0,12718.49,12599.99,12718.49
12718.49,12731.19,12600.0,12677.1
12677.11,12700.0,12664.15,12700.0
12700.0,12725.0,12699.99,12724.99
12725.0,12813.5,12724.99,12813.5
12813.5,12869.99,12775.7,12869.99
12869.99,12920.0,12836.69,12920.0
12920.0,12947.0,12313.37,12750.47
12750.47,12800.0,12675.42,12798.53
12798.43,12900.0,12740.0,12835.0
12834.99,12864.0,12660.0,12778.79
12778.79,12795.02,12762.75,12788.92
12788.92,12864.0,12788.92,12860.01
12860.02,12860.02,12850.0,12854.25
12854.25,12854.7,12780.0,12854.68
12854.69,12860.04,12829.61,12860.03
12860.04,12865.0,12821.0,12865.0
12865.0,12894.01,12810.0,12814.35
12814.36,12875.0,12814.35,12872.43
12872.43,12875.0,12872.42,12875.0
12875.0,12884.45,12874.98,12884.45
12884.45,12888.0,12884.44,12887.99
12887.99,12930.0,12887.98,12901.08
12901.08,12929.66,12864.0,12884.01
12884.01,12931.28,12883.0,12905.01
12905.01,12926.56,12820.01,12820.29
12820.29,12820.29,12589.18,12669.87
12669.45,12749.99,12510.0,12745.07
12745.07,12749.98,12682.01,12690.0
12690.0,12749.99,12689.99,12749.98
12749.99,12849.95,12749.99,12810.0
12816.88,12861.88,12805.23,12861.88
12861.88,12882.0,12861.88,12882.0
12882.0,12882.0,12816.64,12862.87
12862.87,12866.96,12825.0,12825.01
12825.01,12825.03,12825.0,12825.03
12825.03,12825.1,12825.02,12825.1
12825.1,12878.8,12825.09,12878.8
12878.8,12935.0,12878.79,12935.0
12934.99,13090.0,12934.99,13069.41
13069.41,13131.5,12932.4,13131.5
13131.5,13133.0,13074.0,13132.0
13132.01,13380.0,13113.75,13380.0
13380.0,13400.0,13218.01,13344.99
13344.99,13473.35,13344.98,13464.95
13464.95,13466.98,13125.0,13233.99
13233.99,13452.96,13233.99,13450.0
13450.0,13472.36,13400.01,13471.14
13471.14,13471.14,13440.0,13453.04
13452.98,13453.6,13410.0,13438.52
13438.53,13457.0,13430.1,13457.0
13457.0,13499.0,13456.99,13498.99
13499.0,13900.0,13498.99,13869.99
13869.99,13998.0,13700.0,13939.98
13939.98,14425.0,13939.97,14330.0
14334.98,14345.0,13748.53,14056.41
14056.41,14074.0,13750.0,14038.0
14037.98,14040.0,13950.0,13999.0
13998.99,14200.0,13998.99,14090.0
14090.0,14351.91,14089.99,14344.6
14344.6,14400.0,14330.26,14389.3
14389.31,14399.99,14370.58,14399.0
14399.0,14400.0,14370.0,14370.02
14370.03,14370.03,14126.02,14337.0
14337.0,14399.94,14328.58,14382.03
14382.03,14400.0,14382.02,14399.99
14400.0,14400.0,14295.0,14361.01
14361.01,14361.01,14009.99,14009.99
14026.34,14154.89,13500.0,13863.29
13843.14,14154.0,13768.0,13900.03
13900.03,14050.0,13900.02,13974.46
13974.45,14250.0,13945.0,14150.09
14150.08,14169.01,14055.0,14058.71
14058.72,14088.0,13955.27,14009.98
14009.99,14009.99,13841.93,13911.79
13911.8,14099.0,13900.0,14067.0
14067.0,14185.0,14066.99,14159.99
14160.0,14249.0,14160.0,14240.0
14240.0,14371.75,14239.99,14371.75
14371.75,14375.0,14277.19,14300.01
14300.01,14399.99,14206.0,14370.01
14370.01,14380.29,14330.0,14365.2
14365.21,14397.0,14345.0,14397.0
14397.0,14400.0,14396.99,14400.0
14400.0,14499.89,14399.99,14444.66
14444.66,14487.8,14300.0,14397.56
