Date,O,H,L,C
1483315200,144.032,144.401,143.984,144.16
1483329600,144.16,144.476,144.078,144.223
1483344000,144.23,144.974,144.108,144.735
1483358400,144.735,144.773,144.177,144.18
1483372800,144.174,144.362,144.123,144.14
1483387200,144.136,144.52,144.12,144.228
1483401600,144.227,144.397,143.967,144.361
1483416000,144.361,144.455,144.275,144.276
1483430400,144.276,145.257,144.23,145.181
1483444800,145.181,145.394,144.845,144.996
1483459200,144.995,145.058,143.957,143.968
1483473600,143.968,144.124,143.523,144.063
1483488000,144.048,144.542,143.908,144.526
1483502400,144.527,144.669,144.279,144.579
1483516800,144.579,144.929,144.189,144.49
1483531200,144.491,144.569,143.945,144.46
1483545600,144.461,144.656,143.694,144.565
1483560000,144.567,144.908,144.397,144.421
1483574400,144.426,144.65,143.515,143.652
1483588800,143.658,143.791,143.299,143.701
1483603200,143.705,143.725,142.5,143.477
1483617600,143.473,143.745,142.738,143.193
1483632000,143.191,143.594,142.676,143.309
1483646400,143.309,143.715,143.168,143.168
1483660800,143.206,143.797,142.973,143.575
1483675200,143.571,143.665,143.268,143.512
1483689600,143.514,144.047,143.344,143.64
1483704000,143.639,143.968,143.209,143.803
1483718400,143.805,143.97,143.309,143.764
1483732800,143.765,143.828,143.508,143.664
1483920000,143.349,143.851,143.315,143.807
1483934400,143.807,143.83,143.128,143.148
1483948800,143.151,143.287,141.944,142.188
1483963200,142.189,142.387,141.279,141.42
1483977600,141.42,141.755,141.08,141.362
1483992000,141.362,141.422,141.051,141.055
1484006400,141.032,141.274,140.646,140.929
1484020800,140.929,141.137,140.196,140.443
1484035200,140.445,140.902,140.175,140.896
1484049600,140.896,141.446,140.624,141.203
1484064000,141.204,141.315,140.38,140.836
1484078400,140.836,140.976,140.644,140.945
1484092800,140.926,141.4,140.855,141.218
1484107200,141.219,141.473,140.979,140.979
1484121600,140.981,141.313,140.613,140.821
1484136000,140.82,141.314,140.635,140.828
1484150400,140.827,141.399,140.152,140.279
1484164800,140.277,141.04,139.937,140.884
1484179200,140.884,141.002,139.992,140.055
1484193600,140.054,140.089,139.639,139.753
1484208000,139.753,140.286,139.704,139.885
1484222400,139.883,140.508,139.861,140.353
1484236800,140.352,140.441,138.917,138.972
1484251200,138.968,139.633,138.952,139.449
1484265600,139.401,139.924,139.345,139.871
1484280000,139.87,139.994,139.716,139.783
1484294400,139.785,139.963,139.443,139.938
1484308800,139.939,140.275,139.091,139.631
1484323200,139.629,140.577,139.504,140.067
1484337600,140.064,140.068,139.342,139.538
1484524800,137.186,137.913,137.049,137.57
1484539200,137.567,137.576,137.006,137.155
1484553600,137.156,138.149,136.459,137.82
1484568000,137.812,137.856,137.406,137.629
1484582400,137.628,137.779,137.341,137.705
1484596800,137.704,137.759,137.384,137.48
1484611200,137.391,137.677,137.09,137.554
1484625600,137.558,137.728,137.23,137.368
1484640000,137.358,137.818,137.055,137.54
1484654400,137.539,140.059,137.163,139.499
1484668800,139.501,140.138,139.362,139.836
1484683200,139.836,140.11,139.581,139.792
1484697600,139.797,139.988,139.481,139.613
1484712000,139.614,139.826,139.357,139.761
1484726400,139.756,139.979,139.364,139.519
1484740800,139.519,139.664,139.133,139.385
1484755200,139.385,139.922,139.278,139.6
1484769600,139.592,140.677,139.47,140.502
1484784000,140.526,140.785,140.374,140.716
1484798400,140.716,140.882,140.509,140.65
1484812800,140.65,141.425,140.582,140.987
1484827200,140.986,141.577,140.972,141.355
1484841600,141.355,142.172,141.256,141.965
1484856000,141.966,141.992,141.474,141.75
1484870400,141.75,142.01,141.596,141.799
1484884800,141.818,141.854,141.56,141.788
1484899200,141.786,142.068,141.245,141.461
1484913600,141.469,141.797,141.166,141.286
1484928000,141.281,142.056,141.281,141.722
1484942400,141.723,141.884,141.389,141.807
1485129600,141.359,141.655,140.882,140.988
1485144000,140.99,141.272,140.838,140.851
1485158400,140.842,141.639,140.755,141.472
1485172800,141.471,141.622,141.116,141.247
1485187200,141.246,142.08,140.809,141.057
1485201600,141.056,141.477,140.998,141.246
1485216000,141.224,141.615,141.016,141.403
1485230400,141.403,141.533,141.038,141.217
1485244800,141.222,142.075,140.965,141.294
1485259200,141.291,141.691,140.772,141.168
1485273600,141.171,142.425,140.996,142.242
1485288000,142.243,142.509,142.211,142.414
1485302400,142.416,142.785,142.297,142.379
1485316800,142.378,142.386,141.995,142.162
1485331200,142.167,143.162,141.823,142.942
1485345600,142.936,143.069,142.409,142.805
1485360000,142.807,143.487,142.802,143.298
1485374400,143.299,143.709,142.96,143.068
1485388800,143.067,143.27,142.889,143.053
1485403200,143.053,143.577,143.031,143.427
1485417600,143.428,144.336,143.425,144.209
1485432000,144.231,144.36,143.58,143.804
1485446400,143.803,144.526,143.514,144.311
1485460800,144.311,144.353,143.956,144.2
1485475200,144.17,144.762,144.091,144.727
1485489600,144.727,144.783,144.336,144.428
1485504000,144.431,144.704,144.265,144.274
1485518400,144.268,144.628,143.998,144.514
1485532800,144.511,144.733,144.117,144.463
1485547200,144.462,144.567,144.235,144.348
1485734400,144.339,144.629,144.006,144.067
1485748800,144.067,144.132,143.79,144.026
1485763200,144.027,144.26,143.508,143.653
1485777600,143.652,143.837,143.084,143.394
1485792000,143.382,143.422,141.669,141.754
1485806400,141.758,142.183,141.7,142.01
1485820800,142.015,142.384,141.93,142.229
1485835200,142.229,142.246,141.754,141.987
1485849600,141.984,142.461,141.319,141.331
1485864000,141.342,141.811,141.251,141.468
1485878400,141.465,142.435,140.449,142.031
1485892800,142.034,142.093,141.611,141.854
1485907200,141.821,142.264,141.652,142.153
1485921600,142.15,142.419,142.02,142.24
1485936000,142.232,142.991,142.067,142.847
1485950400,142.848,143.774,142.805,143.666
1485964800,143.67,144.122,143.118,143.374
1485979200,143.379,143.523,143.062,143.322
1485993600,143.312,143.53,143.104,143.295
1486008000,143.295,143.429,142.546,142.626
1486022400,142.672,143.173,142.615,142.751
1486036800,142.75,142.788,140.761,141.119
1486051200,141.119,141.601,140.804,141.584
1486065600,141.584,141.618,141.109,141.274
1486080000,141.274,141.563,140.899,140.92
1486094400,140.921,141.68,140.849,141.481
1486108800,141.481,141.975,141.084,141.212
1486123200,141.211,141.413,140.838,140.908
1486137600,140.91,140.922,140.375,140.823
1486152000,140.821,141.093,140.447,140.495
1486339200,140.347,140.665,140.209,140.446
1486353600,140.447,140.644,140.233,140.597
1486368000,140.597,140.759,140.166,140.402
1486382400,140.4,140.628,139.577,139.613
1486396800,139.612,140.018,139.612,139.747
1486411200,139.749,139.797,139.213,139.302
1486425600,139.302,139.575,139.042,139.562
1486440000,139.56,139.645,139.363,139.391
1486454400,139.394,139.474,138.536,138.974
1486468800,138.974,139.197,138.85,138.941
1486483200,138.941,140.265,138.933,139.866
1486497600,139.864,140.606,139.81,140.564
1486512000,140.55,140.617,140.141,140.184
1486526400,140.177,140.464,140.057,140.4
1486540800,140.401,140.684,140.099,140.4
1486555200,140.4,140.498,139.8,140.125
1486569600,140.123,140.357,139.896,140.103
1486584000,140.103,140.494,140.076,140.315
1486598400,140.315,140.453,140.066,140.352
1486612800,140.352,140.462,140.19,140.313
1486627200,140.313,141.241,140.267,141.001
1486641600,141.004,141.304,140.901,141.258
1486656000,141.259,141.809,140.962,141.569
1486670400,141.571,141.667,141.38,141.499
1486684800,141.462,142.368,141.446,142.254
1486699200,142.249,142.363,142.062,142.117
1486713600,142.119,142.342,141.582,142.038
1486728000,142.045,142.17,141.139,141.607
1486742400,141.61,141.846,141.268,141.634
1486756800,141.634,141.754,141.025,141.32
1486944000,141.481,142.619,141.298,142.209
1486958400,142.208,142.387,142.118,142.137
1486972800,142.139,142.46,141.975,142.386
1486987200,142.388,142.574,142.28,142.484
1487001600,142.482,142.514,142.171,142.244
1487016000,142.244,142.52,142.212,142.426
1487030400,142.417,142.556,142.184,142.34
1487044800,142.34,142.463,142.076,142.188
1487059200,142.187,142.327,141.426,141.517
1487073600,141.517,141.711,141.052,141.328
1487088000,141.325,142.718,141.323,142.659
1487102400,142.653,142.695,142.273,142.408
1487116800,142.447,142.699,142.341,142.413
1487131200,142.414,142.662,142.394,142.65
1487145600,142.651,142.774,142.167,142.177
1487160000,142.193,142.46,141.985,142.357
1487174400,142.355,142.813,141.838,142.193
1487188800,142.194,142.29,142.042,142.203
1487203200,142.226,142.459,141.806,141.838
